Time,Media_Channel,Geo,Media_Value,Cost,Extra_Feature_0,Extra_Feature_1,Target
0,0,0,20.309933,320.16287,4.2428584,4.2428584,65.206245
0,0,1,20.309933,320.16287,4.2428584,4.2428584,65.206245
0,0,2,20.309933,320.16287,4.2428584,4.2428584,65.206245
0,0,3,20.309933,320.16287,4.2428584,4.2428584,65.21559
0,0,4,20.309933,320.16287,4.2428584,4.2428584,65.21559
0,1,0,21.495794,315.1931,4.2428584,4.2428584,65.21559
0,1,1,21.495794,315.1931,4.2428584,4.9352956,65.58574
0,1,2,21.495794,315.1931,4.2428584,4.9352956,65.58574
0,1,3,21.495794,315.1931,4.2428584,4.9352956,65.58574
0,1,4,21.495794,315.1931,4.9352956,4.9352956,65.67903
0,2,0,23.264574,319.34937,4.9352956,4.9352956,65.67903
0,2,1,23.264574,319.34937,4.9352956,4.9352956,65.67903
0,2,2,23.264574,319.34937,4.9352956,4.9352956,64.70565
0,2,3,23.264574,319.34937,4.9352956,4.9352956,64.70565
0,2,4,23.264574,319.34937,4.9352956,4.9352956,64.70565
1,0,0,20.574215,320.16287,4.76033,4.76033,69.34308
1,0,1,20.574215,320.16287,4.76033,4.76033,69.34308
1,0,2,20.574215,320.16287,4.76033,4.76033,69.34308
1,0,3,20.574215,320.16287,4.76033,4.76033,68.69565
1,0,4,20.574215,320.16287,4.76033,4.76033,68.69565
1,1,0,19.579594,315.1931,4.76033,4.76033,68.69565
1,1,1,19.579594,315.1931,4.76033,4.362865,69.62714
1,1,2,19.579594,315.1931,4.76033,4.362865,69.62714
1,1,3,19.579594,315.1931,4.76033,4.362865,69.62714
1,1,4,19.579594,315.1931,4.362865,4.362865,68.656906
1,2,0,21.324257,319.34937,4.362865,4.362865,68.656906
1,2,1,21.324257,319.34937,4.362865,4.362865,68.656906
1,2,2,21.324257,319.34937,4.362865,4.362865,68.64752
1,2,3,21.324257,319.34937,4.362865,4.362865,68.64752
1,2,4,21.324257,319.34937,4.362865,4.362865,68.64752
2,0,0,18.423088,320.16287,5.6102057,5.6102057,66.61544
2,0,1,18.423088,320.16287,5.6102057,5.6102057,66.61544
2,0,2,18.423088,320.16287,5.6102057,5.6102057,66.61544
2,0,3,18.423088,320.16287,5.6102057,5.6102057,67.506584
2,0,4,18.423088,320.16287,5.6102057,5.6102057,67.506584
2,1,0,22.889912,315.1931,5.6102057,5.6102057,67.506584
2,1,1,22.889912,315.1931,5.6102057,4.676219,66.3496
2,1,2,22.889912,315.1931,5.6102057,4.676219,66.3496
2,1,3,22.889912,315.1931,5.6102057,4.676219,66.3496
2,1,4,22.889912,315.1931,4.676219,4.676219,66.75662
2,2,0,20.188976,319.34937,4.676219,4.676219,66.75662
2,2,1,20.188976,319.34937,4.676219,4.676219,66.75662
2,2,2,20.188976,319.34937,4.676219,4.676219,66.7875
2,2,3,20.188976,319.34937,4.676219,4.676219,66.7875
2,2,4,20.188976,319.34937,4.676219,4.676219,66.7875
3,0,0,19.161734,320.16287,6.484605,6.484605,65.899826
3,0,1,19.161734,320.16287,6.484605,6.484605,65.899826
3,0,2,19.161734,320.16287,6.484605,6.484605,65.899826
3,0,3,19.161734,320.16287,6.484605,6.484605,66.377045
3,0,4,19.161734,320.16287,6.484605,6.484605,66.377045
3,1,0,20.355442,315.1931,6.484605,6.484605,66.377045
3,1,1,20.355442,315.1931,6.484605,4.778929,65.52589
3,1,2,20.355442,315.1931,6.484605,4.778929,65.52589
3,1,3,20.355442,315.1931,6.484605,4.778929,65.52589
3,1,4,20.355442,315.1931,4.778929,4.778929,65.79408
3,2,0,20.2655,319.34937,4.778929,4.778929,65.79408
3,2,1,20.2655,319.34937,4.778929,4.778929,65.79408
3,2,2,20.2655,319.34937,4.778929,4.778929,66.19227
3,2,3,20.2655,319.34937,4.778929,4.778929,66.19227
3,2,4,20.2655,319.34937,4.778929,4.778929,66.19227
4,0,0,20.657064,320.16287,4.094253,4.094253,71.24251
4,0,1,20.657064,320.16287,4.094253,4.094253,71.24251
4,0,2,20.657064,320.16287,4.094253,4.094253,71.24251
4,0,3,20.657064,320.16287,4.094253,4.094253,71.472694
4,0,4,20.657064,320.16287,4.094253,4.094253,71.472694
4,1,0,21.434008,315.1931,4.094253,4.094253,71.472694
4,1,1,21.434008,315.1931,4.094253,4.3026533,71.78307
4,1,2,21.434008,315.1931,4.094253,4.3026533,71.78307
4,1,3,21.434008,315.1931,4.094253,4.3026533,71.78307
4,1,4,21.434008,315.1931,4.3026533,4.3026533,70.8162
4,2,0,21.574446,319.34937,4.3026533,4.3026533,70.8162
4,2,1,21.574446,319.34937,4.3026533,4.3026533,70.8162
4,2,2,21.574446,319.34937,4.3026533,4.3026533,71.930305
4,2,3,21.574446,319.34937,4.3026533,4.3026533,71.930305
4,2,4,21.574446,319.34937,4.3026533,4.3026533,71.930305
5,0,0,19.641878,320.16287,4.448293,4.448293,67.5736
